Task ID,Task Type,Metric Value,Method
361288,regression,2.167,ada_gpt4o
361072,regression,2.573,ada_gpt4o
361072,regression,2.486,ada_gpt4o
361072,regression,2.455,ada_gpt4o
361072,regression,,ada_gpt4o
361072,regression,2.455,ada_gpt4o
361072,regression,2.455,ada_gpt4o
361072,regression,2.486,ada_gpt4o
361072,regression,,ada_gpt4o
361072,regression,,ada_gpt4o
361072,regression,2.486,ada_gpt4o
361076,regression,0.603,ada_gpt4o
361076,regression,0.603,ada_gpt4o
361076,regression,0.605,ada_gpt4o
361076,regression,0.605,ada_gpt4o
361076,regression,0.605,ada_gpt4o
361076,regression,0.605,ada_gpt4o
361076,regression,0.605,ada_gpt4o
361076,regression,0.603,ada_gpt4o
361076,regression,0.603,ada_gpt4o
361076,regression,0.603,ada_gpt4o
361279,regression,0.028,ada_gpt4o
361279,regression,0.028,ada_gpt4o
361279,regression,0.028,ada_gpt4o
361279,regression,0.028,ada_gpt4o
361279,regression,0.029,ada_gpt4o
361279,regression,0.028,ada_gpt4o
361279,regression,0.028,ada_gpt4o
361279,regression,0.028,ada_gpt4o
361279,regression,0.028,ada_gpt4o
361279,regression,0.028,ada_gpt4o
361280,regression,2.198,ada_gpt4o
361280,regression,2.195,ada_gpt4o
361280,regression,2.195,ada_gpt4o
361280,regression,2.156,ada_gpt4o
361280,regression,2.195,ada_gpt4o
361280,regression,2.138,ada_gpt4o
361280,regression,2.195,ada_gpt4o
361280,regression,2.156,ada_gpt4o
361280,regression,2.156,ada_gpt4o
361280,regression,2.19,ada_gpt4o
361111,classification,0.726,di_gpt4o
361111,classification,0.722,di_gpt4o
361111,classification,0.71,di_gpt4o
361111,classification,0.71,di_gpt4o
361111,classification,0.71,di_gpt4o
361111,classification,0.726,di_gpt4o
361111,classification,0.71,di_gpt4o
361111,classification,0.709,di_gpt4o
361111,classification,0.71,di_gpt4o
361111,classification,0.71,di_gpt4o
361286,classification,0.726,di_gpt4o
361286,classification,0.656,di_gpt4o
361286,classification,0.726,di_gpt4o
361286,classification,0.656,di_gpt4o
361286,classification,0.726,di_gpt4o
361286,classification,0.656,di_gpt4o
361286,classification,0.656,di_gpt4o
361286,classification,0.656,di_gpt4o
361286,classification,0.726,di_gpt4o
361286,classification,0.656,di_gpt4o
361070,classification,0.705,di_gpt4o
361070,classification,0.705,di_gpt4o
361070,classification,0.708,di_gpt4o
361070,classification,0.705,di_gpt4o
361070,classification,0.705,di_gpt4o
361070,classification,0.707,di_gpt4o
361070,classification,0.707,di_gpt4o
361070,classification,0.708,di_gpt4o
361070,classification,0.708,di_gpt4o
361070,classification,0.724,di_gpt4o
361278,classification,0.801,di_gpt4o
361278,classification,0.788,di_gpt4o
361278,classification,0.788,di_gpt4o
361278,classification,0.788,di_gpt4o
361278,classification,0.801,di_gpt4o
361278,classification,0.794,di_gpt4o
361278,classification,0.799,di_gpt4o
361278,classification,0.794,di_gpt4o
361278,classification,0.788,di_gpt4o
361278,classification,0.799,di_gpt4o
361093,regression,0.087,di_gpt4o
361093,regression,0.087,di_gpt4o
361093,regression,0.087,di_gpt4o
361093,regression,0.083,di_gpt4o
361093,regression,0.087,di_gpt4o
361093,regression,0.083,di_gpt4o
361093,regression,0.087,di_gpt4o
361093,regression,0.083,di_gpt4o
361093,regression,0.087,di_gpt4o
361093,regression,0.078,di_gpt4o
361094,regression,0.056,di_gpt4o
361094,regression,0.056,di_gpt4o
361094,regression,0.056,di_gpt4o
361094,regression,0.056,di_gpt4o
361094,regression,0.056,di_gpt4o
361094,regression,0.056,di_gpt4o
361094,regression,0.056,di_gpt4o
361094,regression,0.056,di_gpt4o
361094,regression,0.056,di_gpt4o
361094,regression,0.056,di_gpt4o
361288,regression,2.17,di_gpt4o
361288,regression,2.17,di_gpt4o
361288,regression,2.183,di_gpt4o
361288,regression,2.17,di_gpt4o
361288,regression,2.159,di_gpt4o
361288,regression,2.17,di_gpt4o
361288,regression,2.17,di_gpt4o
361288,regression,2.17,di_gpt4o
361288,regression,2.187,di_gpt4o
361288,regression,2.187,di_gpt4o
361072,regression,2.486,di_gpt4o
361072,regression,2.486,di_gpt4o
361072,regression,2.249,di_gpt4o
361072,regression,2.486,di_gpt4o
361072,regression,2.486,di_gpt4o
361072,regression,2.486,di_gpt4o
361072,regression,2.486,di_gpt4o
361072,regression,2.238,di_gpt4o
361072,regression,2.486,di_gpt4o
361072,regression,2.486,di_gpt4o
361076,regression,0.605,di_gpt4o
361076,regression,0.605,di_gpt4o
361076,regression,0.639,di_gpt4o
361076,regression,0.605,di_gpt4o
361076,regression,0.605,di_gpt4o
361076,regression,0.605,di_gpt4o
361076,regression,0.639,di_gpt4o
361076,regression,0.602,di_gpt4o
361076,regression,0.639,di_gpt4o
361076,regression,0.605,di_gpt4o
361279,regression,0.028,di_gpt4o
361279,regression,0.028,di_gpt4o
361279,regression,0.028,di_gpt4o
361279,regression,0.028,di_gpt4o
361279,regression,0.028,di_gpt4o
361279,regression,0.028,di_gpt4o
361279,regression,0.028,di_gpt4o
361279,regression,0.028,di_gpt4o
361279,regression,0.028,di_gpt4o
361279,regression,0.028,di_gpt4o
361280,regression,2.181,di_gpt4o
361280,regression,2.198,di_gpt4o
361280,regression,2.198,di_gpt4o
361280,regression,2.181,di_gpt4o
361280,regression,2.181,di_gpt4o
361280,regression,2.198,di_gpt4o
361280,regression,2.198,di_gpt4o
361280,regression,2.198,di_gpt4o
361280,regression,2.198,di_gpt4o
361280,regression,2.198,di_gpt4o
361111,classification,0.686,tablemage_gpt4o
361111,classification,0.701,tablemage_gpt4o
361111,classification,0.677,tablemage_gpt4o
361111,classification,0.708,tablemage_gpt4o
361111,classification,0.709,tablemage_gpt4o
361111,classification,0.685,tablemage_gpt4o
361111,classification,0.693,tablemage_gpt4o
361111,classification,0.691,tablemage_gpt4o
361111,classification,0.71,tablemage_gpt4o
361111,classification,0.704,tablemage_gpt4o
361286,classification,0.722,tablemage_gpt4o
361286,classification,0.72,tablemage_gpt4o
361286,classification,0.713,tablemage_gpt4o
361286,classification,0.722,tablemage_gpt4o
361286,classification,0.72,tablemage_gpt4o
361286,classification,0.72,tablemage_gpt4o
361286,classification,0.72,tablemage_gpt4o
361286,classification,0.722,tablemage_gpt4o
361286,classification,0.713,tablemage_gpt4o
361286,classification,0.72,tablemage_gpt4o
361070,classification,0.709,tablemage_gpt4o
361070,classification,0.723,tablemage_gpt4o
361070,classification,0.714,tablemage_gpt4o
361070,classification,0.721,tablemage_gpt4o
361070,classification,0.711,tablemage_gpt4o
361070,classification,0.711,tablemage_gpt4o
361070,classification,0.711,tablemage_gpt4o
361070,classification,0.722,tablemage_gpt4o
361070,classification,0.722,tablemage_gpt4o
361070,classification,0.719,tablemage_gpt4o
361278,classification,0.796,tablemage_gpt4o
361278,classification,0.797,tablemage_gpt4o
361278,classification,0.794,tablemage_gpt4o
361278,classification,0.797,tablemage_gpt4o
361278,classification,0.795,tablemage_gpt4o
361278,classification,0.798,tablemage_gpt4o
361278,classification,0.796,tablemage_gpt4o
361278,classification,0.799,tablemage_gpt4o
361278,classification,0.801,tablemage_gpt4o
361278,classification,0.798,tablemage_gpt4o
361093,regression,0.079,tablemage_gpt4o
361093,regression,0.077,tablemage_gpt4o
361093,regression,0.079,tablemage_gpt4o
361093,regression,0.077,tablemage_gpt4o
361093,regression,0.078,tablemage_gpt4o
361093,regression,0.078,tablemage_gpt4o
361093,regression,0.077,tablemage_gpt4o
361093,regression,0.078,tablemage_gpt4o
361093,regression,0.079,tablemage_gpt4o
361093,regression,0.079,tablemage_gpt4o
361094,regression,0.134,tablemage_gpt4o
361094,regression,0.134,tablemage_gpt4o
361094,regression,0.134,tablemage_gpt4o
361094,regression,0.134,tablemage_gpt4o
361094,regression,0.12,tablemage_gpt4o
361094,regression,0.12,tablemage_gpt4o
361094,regression,0.12,tablemage_gpt4o
361094,regression,0.12,tablemage_gpt4o
361094,regression,0.12,tablemage_gpt4o
361094,regression,0.12,tablemage_gpt4o
361288,regression,2.144,tablemage_gpt4o
361288,regression,2.146,tablemage_gpt4o
361288,regression,2.14,tablemage_gpt4o
361288,regression,2.146,tablemage_gpt4o
361288,regression,2.146,tablemage_gpt4o
361288,regression,2.146,tablemage_gpt4o
361288,regression,2.147,tablemage_gpt4o
361288,regression,2.147,tablemage_gpt4o
361288,regression,2.14,tablemage_gpt4o
361288,regression,2.15,tablemage_gpt4o
361072,regression,2.267,tablemage_gpt4o
361072,regression,3.727,tablemage_gpt4o
361072,regression,2.275,tablemage_gpt4o
361072,regression,2.263,tablemage_gpt4o
361072,regression,2.275,tablemage_gpt4o
361072,regression,2.268,tablemage_gpt4o
361072,regression,3.716,tablemage_gpt4o
361072,regression,2.302,tablemage_gpt4o
361072,regression,2.271,tablemage_gpt4o
361072,regression,3.672,tablemage_gpt4o
361076,regression,0.597,tablemage_gpt4o
361076,regression,0.605,tablemage_gpt4o
361076,regression,0.603,tablemage_gpt4o
361076,regression,0.601,tablemage_gpt4o
361076,regression,0.598,tablemage_gpt4o
361076,regression,0.598,tablemage_gpt4o
361076,regression,0.604,tablemage_gpt4o
361076,regression,0.598,tablemage_gpt4o
361076,regression,0.603,tablemage_gpt4o
361076,regression,0.6,tablemage_gpt4o
361279,regression,0.027,tablemage_gpt4o
361279,regression,0.028,tablemage_gpt4o
361279,regression,0.028,tablemage_gpt4o
361279,regression,0.028,tablemage_gpt4o
361279,regression,0.027,tablemage_gpt4o
361279,regression,0.028,tablemage_gpt4o
361279,regression,0.028,tablemage_gpt4o
361279,regression,0.028,tablemage_gpt4o
361279,regression,0.028,tablemage_gpt4o
361279,regression,0.027,tablemage_gpt4o
361280,regression,2.151,tablemage_gpt4o
361280,regression,2.151,tablemage_gpt4o
361280,regression,2.152,tablemage_gpt4o
361280,regression,2.151,tablemage_gpt4o
361280,regression,2.152,tablemage_gpt4o
361280,regression,2.15,tablemage_gpt4o
361280,regression,2.155,tablemage_gpt4o
361280,regression,2.152,tablemage_gpt4o
361280,regression,2.151,tablemage_gpt4o
361280,regression,2.155,tablemage_gpt4o
361111,classification,0.703,tablemage_gpt4o-tools_only
361111,classification,0.699,tablemage_gpt4o-tools_only
361111,classification,0.703,tablemage_gpt4o-tools_only
361111,classification,0.711,tablemage_gpt4o-tools_only
361111,classification,0.711,tablemage_gpt4o-tools_only
361111,classification,0.703,tablemage_gpt4o-tools_only
361111,classification,0.705,tablemage_gpt4o-tools_only
361111,classification,0.701,tablemage_gpt4o-tools_only
361111,classification,0.707,tablemage_gpt4o-tools_only
361111,classification,0.696,tablemage_gpt4o-tools_only
361286,classification,0.724,tablemage_gpt4o-tools_only
361286,classification,0.724,tablemage_gpt4o-tools_only
361286,classification,0.724,tablemage_gpt4o-tools_only
361286,classification,0.724,tablemage_gpt4o-tools_only
361286,classification,0.725,tablemage_gpt4o-tools_only
361286,classification,0.725,tablemage_gpt4o-tools_only
361286,classification,0.724,tablemage_gpt4o-tools_only
361286,classification,0.725,tablemage_gpt4o-tools_only
361286,classification,0.725,tablemage_gpt4o-tools_only
361286,classification,0.725,tablemage_gpt4o-tools_only
361070,classification,0.722,tablemage_gpt4o-tools_only
361070,classification,0.722,tablemage_gpt4o-tools_only
361070,classification,0.712,tablemage_gpt4o-tools_only
361070,classification,0.718,tablemage_gpt4o-tools_only
361070,classification,0.718,tablemage_gpt4o-tools_only
361070,classification,0.707,tablemage_gpt4o-tools_only
361070,classification,0.709,tablemage_gpt4o-tools_only
361070,classification,0.724,tablemage_gpt4o-tools_only
361070,classification,0.716,tablemage_gpt4o-tools_only
361070,classification,0.716,tablemage_gpt4o-tools_only
361278,classification,0.796,tablemage_gpt4o-tools_only
361278,classification,0.796,tablemage_gpt4o-tools_only
361278,classification,0.798,tablemage_gpt4o-tools_only
361278,classification,0.798,tablemage_gpt4o-tools_only
361278,classification,0.797,tablemage_gpt4o-tools_only
361278,classification,0.797,tablemage_gpt4o-tools_only
361278,classification,0.799,tablemage_gpt4o-tools_only
361278,classification,0.795,tablemage_gpt4o-tools_only
361278,classification,0.796,tablemage_gpt4o-tools_only
361278,classification,0.796,tablemage_gpt4o-tools_only
361093,regression,0.077,tablemage_gpt4o-tools_only
361093,regression,0.077,tablemage_gpt4o-tools_only
361093,regression,0.077,tablemage_gpt4o-tools_only
361093,regression,0.078,tablemage_gpt4o-tools_only
361093,regression,0.077,tablemage_gpt4o-tools_only
361093,regression,0.078,tablemage_gpt4o-tools_only
361093,regression,0.078,tablemage_gpt4o-tools_only
361093,regression,0.078,tablemage_gpt4o-tools_only
361093,regression,0.078,tablemage_gpt4o-tools_only
361093,regression,0.077,tablemage_gpt4o-tools_only
361094,regression,0.134,tablemage_gpt4o-tools_only
361094,regression,0.12,tablemage_gpt4o-tools_only
361094,regression,0.134,tablemage_gpt4o-tools_only
361094,regression,0.134,tablemage_gpt4o-tools_only
361094,regression,0.12,tablemage_gpt4o-tools_only
361094,regression,0.12,tablemage_gpt4o-tools_only
361094,regression,0.12,tablemage_gpt4o-tools_only
361094,regression,0.12,tablemage_gpt4o-tools_only
361094,regression,0.12,tablemage_gpt4o-tools_only
361094,regression,0.12,tablemage_gpt4o-tools_only
361288,regression,2.146,tablemage_gpt4o-tools_only
361288,regression,2.14,tablemage_gpt4o-tools_only
361288,regression,2.146,tablemage_gpt4o-tools_only
361288,regression,2.14,tablemage_gpt4o-tools_only
361288,regression,2.143,tablemage_gpt4o-tools_only
361288,regression,2.147,tablemage_gpt4o-tools_only
361288,regression,2.146,tablemage_gpt4o-tools_only
361288,regression,2.147,tablemage_gpt4o-tools_only
361288,regression,2.15,tablemage_gpt4o-tools_only
361288,regression,2.15,tablemage_gpt4o-tools_only
361072,regression,2.258,tablemage_gpt4o-tools_only
361072,regression,2.263,tablemage_gpt4o-tools_only
361072,regression,2.296,tablemage_gpt4o-tools_only
361072,regression,2.27,tablemage_gpt4o-tools_only
361072,regression,2.281,tablemage_gpt4o-tools_only
361072,regression,2.276,tablemage_gpt4o-tools_only
361072,regression,2.271,tablemage_gpt4o-tools_only
361072,regression,2.273,tablemage_gpt4o-tools_only
361072,regression,2.274,tablemage_gpt4o-tools_only
361072,regression,2.288,tablemage_gpt4o-tools_only
361076,regression,0.603,tablemage_gpt4o-tools_only
361076,regression,0.607,tablemage_gpt4o-tools_only
361076,regression,0.601,tablemage_gpt4o-tools_only
361076,regression,0.597,tablemage_gpt4o-tools_only
361076,regression,0.597,tablemage_gpt4o-tools_only
361076,regression,0.602,tablemage_gpt4o-tools_only
361076,regression,0.603,tablemage_gpt4o-tools_only
361076,regression,0.6,tablemage_gpt4o-tools_only
361076,regression,0.6,tablemage_gpt4o-tools_only
361076,regression,0.601,tablemage_gpt4o-tools_only
361279,regression,0.028,tablemage_gpt4o-tools_only
361279,regression,0.027,tablemage_gpt4o-tools_only
361279,regression,0.027,tablemage_gpt4o-tools_only
361279,regression,0.027,tablemage_gpt4o-tools_only
361279,regression,0.028,tablemage_gpt4o-tools_only
361279,regression,0.027,tablemage_gpt4o-tools_only
361279,regression,0.028,tablemage_gpt4o-tools_only
361279,regression,0.027,tablemage_gpt4o-tools_only
361279,regression,0.027,tablemage_gpt4o-tools_only
361279,regression,0.027,tablemage_gpt4o-tools_only
361280,regression,2.15,tablemage_gpt4o-tools_only
361280,regression,2.162,tablemage_gpt4o-tools_only
361280,regression,2.15,tablemage_gpt4o-tools_only
361280,regression,2.152,tablemage_gpt4o-tools_only
361280,regression,2.15,tablemage_gpt4o-tools_only
361280,regression,2.157,tablemage_gpt4o-tools_only
361280,regression,2.151,tablemage_gpt4o-tools_only
361280,regression,2.152,tablemage_gpt4o-tools_only
361280,regression,2.152,tablemage_gpt4o-tools_only
361280,regression,2.157,tablemage_gpt4o-tools_only
361111,classification,0.739,tablemage_llama3.3_70b
361111,classification,0.731,tablemage_llama3.3_70b
361111,classification,0.742,tablemage_llama3.3_70b
361111,classification,0.739,tablemage_llama3.3_70b
361111,classification,0.732,tablemage_llama3.3_70b
361111,classification,0.733,tablemage_llama3.3_70b
361111,classification,0.738,tablemage_llama3.3_70b
361111,classification,0.728,tablemage_llama3.3_70b
361111,classification,0.733,tablemage_llama3.3_70b
361111,classification,0.741,tablemage_llama3.3_70b
361286,classification,0.716,tablemage_llama3.3_70b
361286,classification,0.723,tablemage_llama3.3_70b
361286,classification,0.779,tablemage_llama3.3_70b
361286,classification,0.721,tablemage_llama3.3_70b
361286,classification,0.722,tablemage_llama3.3_70b
361286,classification,0.722,tablemage_llama3.3_70b
361286,classification,0.722,tablemage_llama3.3_70b
361286,classification,0.788,tablemage_llama3.3_70b
361286,classification,0.722,tablemage_llama3.3_70b
361286,classification,0.722,tablemage_llama3.3_70b
361070,classification,0.749,tablemage_llama3.3_70b
361070,classification,0.735,tablemage_llama3.3_70b
361070,classification,0.734,tablemage_llama3.3_70b
361070,classification,0.735,tablemage_llama3.3_70b
361070,classification,0.732,tablemage_llama3.3_70b
361070,classification,0.721,tablemage_llama3.3_70b
361070,classification,0.733,tablemage_llama3.3_70b
361070,classification,0.736,tablemage_llama3.3_70b
361070,classification,0.718,tablemage_llama3.3_70b
361070,classification,0.72,tablemage_llama3.3_70b
361278,classification,0.798,tablemage_llama3.3_70b
361278,classification,0.794,tablemage_llama3.3_70b
361278,classification,0.796,tablemage_llama3.3_70b
361278,classification,0.796,tablemage_llama3.3_70b
361278,classification,0.796,tablemage_llama3.3_70b
361278,classification,0.797,tablemage_llama3.3_70b
361278,classification,0.797,tablemage_llama3.3_70b
361278,classification,0.795,tablemage_llama3.3_70b
361278,classification,0.795,tablemage_llama3.3_70b
361278,classification,0.795,tablemage_llama3.3_70b
361093,regression,0.078,tablemage_llama3.3_70b
361093,regression,0.078,tablemage_llama3.3_70b
361093,regression,0.077,tablemage_llama3.3_70b
361093,regression,0.077,tablemage_llama3.3_70b
361093,regression,0.078,tablemage_llama3.3_70b
361093,regression,0.078,tablemage_llama3.3_70b
361093,regression,0.078,tablemage_llama3.3_70b
361093,regression,0.079,tablemage_llama3.3_70b
361093,regression,0.077,tablemage_llama3.3_70b
361093,regression,0.078,tablemage_llama3.3_70b
361094,regression,0.14,tablemage_llama3.3_70b
361094,regression,0.12,tablemage_llama3.3_70b
361094,regression,0.12,tablemage_llama3.3_70b
361094,regression,0.12,tablemage_llama3.3_70b
361094,regression,0.122,tablemage_llama3.3_70b
361094,regression,0.12,tablemage_llama3.3_70b
361094,regression,0.12,tablemage_llama3.3_70b
361094,regression,0.122,tablemage_llama3.3_70b
361094,regression,0.12,tablemage_llama3.3_70b
361094,regression,0.052,tablemage_llama3.3_70b
361288,regression,2.137,tablemage_llama3.3_70b
361288,regression,2.136,tablemage_llama3.3_70b
361288,regression,2.139,tablemage_llama3.3_70b
361288,regression,2.139,tablemage_llama3.3_70b
361288,regression,2.136,tablemage_llama3.3_70b
361288,regression,2.137,tablemage_llama3.3_70b
361288,regression,2.139,tablemage_llama3.3_70b
361288,regression,2.137,tablemage_llama3.3_70b
361288,regression,2.132,tablemage_llama3.3_70b
361288,regression,2.137,tablemage_llama3.3_70b
361072,regression,2.282,tablemage_llama3.3_70b
361072,regression,2.293,tablemage_llama3.3_70b
361072,regression,2.265,tablemage_llama3.3_70b
361072,regression,2.301,tablemage_llama3.3_70b
361072,regression,2.297,tablemage_llama3.3_70b
361072,regression,2.261,tablemage_llama3.3_70b
361072,regression,2.267,tablemage_llama3.3_70b
361072,regression,2.29,tablemage_llama3.3_70b
361072,regression,2.315,tablemage_llama3.3_70b
361072,regression,2.256,tablemage_llama3.3_70b
361076,regression,0.602,tablemage_llama3.3_70b
361076,regression,0.605,tablemage_llama3.3_70b
361076,regression,0.61,tablemage_llama3.3_70b
361076,regression,0.594,tablemage_llama3.3_70b
361076,regression,0.604,tablemage_llama3.3_70b
361076,regression,0.598,tablemage_llama3.3_70b
361076,regression,0.605,tablemage_llama3.3_70b
361076,regression,0.598,tablemage_llama3.3_70b
361076,regression,0.612,tablemage_llama3.3_70b
361076,regression,0.167,tablemage_llama3.3_70b
361279,regression,0.028,tablemage_llama3.3_70b
361279,regression,0.028,tablemage_llama3.3_70b
361279,regression,0.027,tablemage_llama3.3_70b
361279,regression,0.027,tablemage_llama3.3_70b
361279,regression,0.027,tablemage_llama3.3_70b
361279,regression,0.027,tablemage_llama3.3_70b
361279,regression,0.028,tablemage_llama3.3_70b
361279,regression,0.028,tablemage_llama3.3_70b
361279,regression,0.027,tablemage_llama3.3_70b
361279,regression,0.027,tablemage_llama3.3_70b
361280,regression,2.155,tablemage_llama3.3_70b
361280,regression,2.155,tablemage_llama3.3_70b
361280,regression,2.148,tablemage_llama3.3_70b
361280,regression,2.155,tablemage_llama3.3_70b
361280,regression,2.151,tablemage_llama3.3_70b
361280,regression,2.151,tablemage_llama3.3_70b
361280,regression,2.151,tablemage_llama3.3_70b
361280,regression,2.146,tablemage_llama3.3_70b
361280,regression,2.146,tablemage_llama3.3_70b
361280,regression,2.151,tablemage_llama3.3_70b
361111,classification,0.708,openinterpreter_gpt4o
361111,classification,0.708,openinterpreter_gpt4o
361111,classification,0.589,openinterpreter_gpt4o
361111,classification,0.708,openinterpreter_gpt4o
361111,classification,0.708,openinterpreter_gpt4o
361111,classification,0.708,openinterpreter_gpt4o
361111,classification,,openinterpreter_gpt4o
361111,classification,,openinterpreter_gpt4o
361111,classification,0.976,openinterpreter_gpt4o
361111,classification,,openinterpreter_gpt4o
361286,classification,0.722,openinterpreter_gpt4o
361286,classification,0.722,openinterpreter_gpt4o
361286,classification,0.723,openinterpreter_gpt4o
361286,classification,0.726,openinterpreter_gpt4o
361286,classification,,openinterpreter_gpt4o
361286,classification,0.722,openinterpreter_gpt4o
361286,classification,,openinterpreter_gpt4o
361286,classification,0.722,openinterpreter_gpt4o
361286,classification,,openinterpreter_gpt4o
361286,classification,0.722,openinterpreter_gpt4o
361070,classification,0.7,openinterpreter_gpt4o
361070,classification,0.7,openinterpreter_gpt4o
361070,classification,,openinterpreter_gpt4o
361070,classification,,openinterpreter_gpt4o
361070,classification,0.7,openinterpreter_gpt4o
361070,classification,,openinterpreter_gpt4o
361070,classification,0.7,openinterpreter_gpt4o
361070,classification,0.722,openinterpreter_gpt4o
361070,classification,0.7,openinterpreter_gpt4o
361070,classification,0.722,openinterpreter_gpt4o
361278,classification,0.8,openinterpreter_gpt4o
361278,classification,,openinterpreter_gpt4o
361278,classification,0.8,openinterpreter_gpt4o
361278,classification,0.8,openinterpreter_gpt4o
361278,classification,0.8,openinterpreter_gpt4o
361278,classification,0.8,openinterpreter_gpt4o
361278,classification,,openinterpreter_gpt4o
361278,classification,,openinterpreter_gpt4o
361278,classification,0.8,openinterpreter_gpt4o
361278,classification,,openinterpreter_gpt4o
361093,regression,0.08,openinterpreter_gpt4o
361093,regression,0.087,openinterpreter_gpt4o
361093,regression,,openinterpreter_gpt4o
361093,regression,,openinterpreter_gpt4o
361093,regression,0.08,openinterpreter_gpt4o
361093,regression,0.087,openinterpreter_gpt4o
361093,regression,0.087,openinterpreter_gpt4o
361093,regression,0.094,openinterpreter_gpt4o
361093,regression,,openinterpreter_gpt4o
361093,regression,,openinterpreter_gpt4o
361094,regression,0.057,openinterpreter_gpt4o
361094,regression,0.057,openinterpreter_gpt4o
361094,regression,0.057,openinterpreter_gpt4o
361094,regression,0.057,openinterpreter_gpt4o
361094,regression,,openinterpreter_gpt4o
361094,regression,,openinterpreter_gpt4o
361094,regression,0.057,openinterpreter_gpt4o
361094,regression,0.057,openinterpreter_gpt4o
361094,regression,,openinterpreter_gpt4o
361094,regression,,openinterpreter_gpt4o
361288,regression,2.184,openinterpreter_gpt4o
361288,regression,2.179,openinterpreter_gpt4o
361288,regression,,openinterpreter_gpt4o
361288,regression,2.187,openinterpreter_gpt4o
361288,regression,,openinterpreter_gpt4o
361288,regression,2.169,openinterpreter_gpt4o
361288,regression,,openinterpreter_gpt4o
361288,regression,2.007,openinterpreter_gpt4o
361288,regression,2.04,openinterpreter_gpt4o
361288,regression,,openinterpreter_gpt4o
361072,regression,2.486,openinterpreter_gpt4o
361072,regression,2.47,openinterpreter_gpt4o
361072,regression,,openinterpreter_gpt4o
361072,regression,2.455,openinterpreter_gpt4o
361072,regression,,openinterpreter_gpt4o
361072,regression,2.455,openinterpreter_gpt4o
361072,regression,,openinterpreter_gpt4o
361072,regression,2.184,openinterpreter_gpt4o
361072,regression,2.184,openinterpreter_gpt4o
361072,regression,,openinterpreter_gpt4o
361076,regression,0.605,openinterpreter_gpt4o
361076,regression,0.605,openinterpreter_gpt4o
361076,regression,0.605,openinterpreter_gpt4o
361076,regression,0.605,openinterpreter_gpt4o
361076,regression,,openinterpreter_gpt4o
361076,regression,0.605,openinterpreter_gpt4o
361076,regression,0.605,openinterpreter_gpt4o
361076,regression,2.455,openinterpreter_gpt4o
361076,regression,2.455,openinterpreter_gpt4o
361076,regression,0.73,openinterpreter_gpt4o
361279,regression,0.028,openinterpreter_gpt4o
361279,regression,,openinterpreter_gpt4o
361279,regression,0.028,openinterpreter_gpt4o
361279,regression,0.028,openinterpreter_gpt4o
361279,regression,,openinterpreter_gpt4o
361279,regression,0.028,openinterpreter_gpt4o
